30427671,1021,14958927,14832852,0.414343247
30427671,1023,15209568,15125996,0.274657893
30427671,1010,15283351,15051801,0.76098496
30427671,1012,15003868,15266539,0.863263573
30427671,1010,15404273,15308233,0.315633753
30427671,2032,15326126,15152391,0.57097699
30427671,2031,15418043,15309418,0.356994132
30427671,2018,15051490,15196310,0.475948356
30427671,2037,15399516,15267287,0.434568259
30427671,2026,15308260,15218378,0.295395596
30427671,4044,15081730,15148908,0.220779303
30427671,4055,15247754,15228439,0.063478404
30427671,4068,15537296,15132691,1.329727142
30427671,4066,15121914,15272155,0.493764377
30427671,4042,15236066,15277374,0.135758008
